"filename", "language", "JavaScript", "JavaScript JSX", "comment", "blank", "total"
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\components\Header.jsx", "JavaScript JSX", 0, 3, 0, 0, 3
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\components\SearchResults.jsx", "JavaScript JSX", 0, -1, 0, 0, -1
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\Admin\AdminComponents\AdminSubComponents\AddProduct.jsx", "JavaScript JSX", 0, 161, -557, 3, -393
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\Admin\AdminComponents\AdminSubComponents\DropzoneHandler.jsx", "JavaScript JSX", 0, 22, 113, 2, 137
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\Admin\AdminComponents\AdminSubComponents\MaterialHandler.jsx", "JavaScript JSX", 0, 63, 0, 6, 69
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\Admin\AdminComponents\AdminSubComponents\SearchHandler.jsx", "JavaScript JSX", 0, 72, 0, 7, 79
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\Admin\AdminComponents\AdminSubComponents\SpecificationsHandler.jsx", "JavaScript JSX", 0, 75, 2, 6, 83
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\Admin\AdminComponents\AdminSubComponents\TagHandler.jsx", "JavaScript JSX", 0, 57, 0, 5, 62
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\Admin\AdminComponents\AdminSubComponents\UpdateProduct.jsx", "JavaScript JSX", 0, 224, 4, 8, 236
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\Admin\AdminComponents\AdminSubComponents\UploadData.jsx", "JavaScript JSX", 0, 111, 2, 15, 128
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\Admin\AdminComponents\HandleProducts.jsx", "JavaScript JSX", 0, 2, 0, 0, 2
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\Product\ProductPage.jsx", "JavaScript JSX", 0, 2, 0, 0, 2
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\Product\sections\ProductDetails.jsx", "JavaScript JSX", 0, 20, 0, 1, 21
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\Product\sections\ReviewsComponent.jsx", "JavaScript JSX", 0, 121, 0, 15, 136
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\Profile\CheckOrder.jsx", "JavaScript JSX", 0, 10, 0, 2, 12
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\Profile\sections\Comments.jsx", "JavaScript JSX", 0, 35, 0, 1, 36
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\server\routes\fetch_apis.js", "JavaScript", 15, 0, 0, 4, 19
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\server\routes\handleComments.js", "JavaScript", 0, 0, -1, 0, -1
"Total", "-", 15, 977, -437, 75, 630
