Date : 2024-06-30 11:10:30
Directory : c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite
Total : 88 files,  14676 codes, 299 comments, 646 blanks, all 15621 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| JSON           |          6 |      8,759 |          0 |          5 |      8,764 |
| JavaScript JSX |         54 |      4,241 |        201 |        373 |      4,815 |
| JavaScript     |         22 |      1,545 |         97 |        226 |      1,868 |
| CSS            |          1 |         60 |          1 |         16 |         77 |
| Markdown       |          3 |         55 |          0 |         25 |         80 |
| HTML           |          1 |         13 |          0 |          1 |         14 |
| Properties     |          1 |          3 |          0 |          0 |          3 |
+----------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                             | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                |         88 |     14,676 |        299 |        646 |     15,621 |
| . (Files)                                                                                                                                                        |          1 |          3 |          0 |          0 |          3 |
| client                                                                                                                                                           |         65 |     10,707 |        204 |        405 |     11,316 |
| client (Files)                                                                                                                                                   |         10 |      6,406 |          2 |         16 |      6,424 |
| client\src                                                                                                                                                       |         55 |      4,301 |        202 |        389 |      4,892 |
| client\src (Files)                                                                                                                                               |          3 |        152 |         70 |         23 |        245 |
| client\src\components                                                                                                                                            |         10 |        849 |          4 |         79 |        932 |
| client\src\pages                                                                                                                                                 |         39 |      3,189 |        123 |        263 |      3,575 |
| client\src\pages\About                                                                                                                                           |          2 |         74 |          0 |          8 |         82 |
| client\src\pages\About (Files)                                                                                                                                   |          1 |         19 |          0 |          4 |         23 |
| client\src\pages\About\sections                                                                                                                                  |          1 |         55 |          0 |          4 |         59 |
| client\src\pages\Admin                                                                                                                                           |         14 |      1,088 |        123 |         89 |      1,300 |
| client\src\pages\Admin (Files)                                                                                                                                   |          1 |         27 |          0 |          4 |         31 |
| client\src\pages\Admin\AdminComponents                                                                                                                           |         13 |      1,061 |        123 |         85 |      1,269 |
| client\src\pages\Admin\AdminComponents (Files)                                                                                                                   |          3 |         90 |          0 |         10 |        100 |
| client\src\pages\Admin\AdminComponents\AdminSubComponents                                                                                                        |         10 |        971 |        123 |         75 |      1,169 |
| client\src\pages\CheckoutPage                                                                                                                                    |          1 |        224 |          0 |         15 |        239 |
| client\src\pages\ErrorFallback                                                                                                                                   |          1 |         13 |          0 |          3 |         16 |
| client\src\pages\LandingPage                                                                                                                                     |          4 |        214 |          0 |         19 |        233 |
| client\src\pages\LandingPage (Files)                                                                                                                             |          1 |         14 |          0 |          3 |         17 |
| client\src\pages\LandingPage\sections                                                                                                                            |          3 |        200 |          0 |         16 |        216 |
| client\src\pages\Login                                                                                                                                           |          1 |        147 |          0 |          9 |        156 |
| client\src\pages\PaymentStatus                                                                                                                                   |          1 |         66 |          0 |          6 |         72 |
| client\src\pages\Product                                                                                                                                         |          6 |        547 |          0 |         50 |        597 |
| client\src\pages\Product (Files)                                                                                                                                 |          1 |         55 |          0 |          7 |         62 |
| client\src\pages\Product\sections                                                                                                                                |          5 |        492 |          0 |         43 |        535 |
| client\src\pages\Profile                                                                                                                                         |          8 |        671 |          0 |         57 |        728 |
| client\src\pages\Profile (Files)                                                                                                                                 |          2 |        187 |          0 |         14 |        201 |
| client\src\pages\Profile\sections                                                                                                                                |          6 |        484 |          0 |         43 |        527 |
| client\src\pages\Profile\sections (Files)                                                                                                                        |          4 |        319 |          0 |         29 |        348 |
| client\src\pages\Profile\sections\SelectStatus                                                                                                                   |          2 |        165 |          0 |         14 |        179 |
| client\src\pages\Register                                                                                                                                        |          1 |        145 |          0 |          7 |        152 |
| client\src\utils                                                                                                                                                 |          3 |        111 |          5 |         24 |        140 |
| server                                                                                                                                                           |         22 |      3,966 |         95 |        241 |      4,302 |
| server (Files)                                                                                                                                                   |          5 |      2,117 |         20 |         41 |      2,178 |
| server\config                                                                                                                                                    |          2 |         43 |          1 |          7 |         51 |
| server\lib                                                                                                                                                       |          4 |        204 |         34 |         35 |        273 |
| server\models                                                                                                                                                    |          4 |        204 |          6 |         20 |        230 |
| server\products_example                                                                                                                                          |          1 |        413 |          0 |          0 |        413 |
| server\routes                                                                                                                                                    |          6 |        985 |         34 |        138 |      1,157 |
+------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| filename                                                                                                                                                         | language       | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\README.md                                                                           | Markdown       |          3 |          0 |          0 |          3 |
| c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\.env                                                                         | Properties     |          3 |          0 |          0 |          3 |
| c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\.eslintrc.cjs                                                                | JavaScript     |         20 |          0 |          1 |         21 |
| c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\.prettierrc                                                                  | JSON           |          9 |          0 |          1 |         10 |
