"filename", "language", "JavaScript JSX", "CSS", "JavaScript", "XML", "comment", "blank", "total"
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\public\free-shipping.svg", "XML", 0, 0, 0, 6, 0, 1, 7
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\public\payment.svg", "XML", 0, 0, 0, 5, 0, 1, 6
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\public\quality.svg", "XML", 0, 0, 0, 5, 0, 1, 6
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\public\return.svg", "XML", 0, 0, 0, 7, 0, 1, 8
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\App.jsx", "JavaScript JSX", 6, 0, 0, 0, 16, 0, 22
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\components\CardItem.jsx", "JavaScript JSX", 15, 0, 0, 0, 0, 1, 16
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\components\CardItemId.jsx", "JavaScript JSX", 12, 0, 0, 0, 0, 1, 13
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\components\CartContainer.jsx", "JavaScript JSX", 26, 0, 0, 0, 0, 2, 28
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\components\CartItem.jsx", "JavaScript JSX", -2, 0, 0, 0, 0, 0, -2
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\components\Footer.jsx", "JavaScript JSX", 82, 0, 0, 0, 0, 5, 87
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\components\Header.jsx", "JavaScript JSX", 43, 0, 0, 0, 1, 6, 50
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\components\SearchResults.jsx", "JavaScript JSX", 3, 0, 0, 0, 0, 0, 3
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\components\SideBarHeader.jsx", "JavaScript JSX", 30, 0, 0, 0, 0, -2, 28
